account_code,hoa,account_code_description,receipt_or_payment,positive_or_negative,part
3201030411,320102101020111,Opening & Upgrading of Post Offices-Domestic Travel Expenses,Payment Side,Positive,Part I
3201030513,320102101020113,Opening & Upgrading of Post Offices-Office Expenses,Payment Side,Positive,Part I
3201030614,320102101020114,Opening & Upgrading of POs-RRT for Land and Buidlings,Payment Side,Positive,Part I
3201030716,320102101020116,Opening & Upgrading of Post Offices-Printing and Publication,Payment Side,Positive,Part I
3201030818,320102101020118,Opening & Upgrading of Post Offices-Rent for Others,Payment Side,Positive,Part I
3201030919,320102101020119,Opening & Upgrading of Post Offices-Digital Equipment,Payment Side,Positive,Part I
3201031021,320102101020121,Opening & Upgrading of Post Offices-Materials and Supplies,Payment Side,Positive,Part I
3201031126,320102101020126,Opening & Upgrading of Post Offices-A & P,Payment Side,Positive,Part I
3201031227,320102101020127,Opening & Upgrading of Post Offices-Minor C & E Works,Payment Side,Positive,Part I
3201031328,320102101020128,Opening & Upgrading of Post Offices-Professional Services,Payment Side,Positive,Part I
3201031464,320102101020164,Opening & Upgrading of Post Offices-Write off of losses,Payment Side,Positive,Part I
3201031524,320102101020224,Opening of Branch Office-Fuels and Lubricants,Payment Side,Positive,Part I
3201031639,320102101020239,Opening of Branch Office-Bank and Agency Charges,Payment Side,Positive,Part I
3201031740,320102101020240,Opening of Branch Office-Awards and Prizes,Payment Side,Positive,Part I
3201031849,320102101020249,Opening of Branch Office-Other Revenue Expenditure,Payment Side,Positive,Part I
3201031901,320102101030101,Postal Seals office Aligarh-Salaries,Payment Side,Positive,Part I
